Base,Base Name,Date,Number of trips,Number of Vehicles
B00013,LOVE CORP CAR INC,2015-01-01,26,17
B00014,NY ONE CORP CAR INC,2015-01-01,45,24
B00029,COMMUNITY CAR SVC CORP,2015-01-01,731,36
B00053,CHARGE AND RIDE INC,2015-01-01,10,9
B00095,LIBERTY CAR SERVICE INC.,2015-01-01,814,62
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-01,220,46
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-01,36,28
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-01,1137,106
B00254,XYZ TWO WAY RADIO,2015-01-01,236,103
B00280,FLEET RADIO DISPATCH CORP.,2015-01-01,47,29
B00310,WATSON CAR SERVICE INC.,2015-01-01,1792,119
B00381,BELL RADIO INC,2015-01-01,23,13
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-01,83,20
B00457,PREMIUM BRONX CORP,2015-01-01,1846,86
B00477,INTA-BORO ACRES INC,2015-01-01,57,39
B00552,HINO-MARU ENTERPRISES INC.,2015-01-01,9,8
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-01,4,2
B00837,CAREY LIMO N Y INC,2015-01-01,81,37
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-01,1765,579
B00919,HARLEM CARS INC.,2015-01-01,766,65
B00948,510 CAR SERVICE CORP,2015-01-01,445,46
B01066,DOMINICANA RAD DISP INC,2015-01-01,704,69
B01083,BROAD DYCKMAN C/S INC,2015-01-01,741,65
B01087,ELITE LIMO PLUS INC,2015-01-01,87,58
B01148,EVELYN CAR SERVICE INC,2015-01-01,485,49
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-01-01,23,12
B01282,NEW LOTS C/S INC,2015-01-01,581,43
B01285,UNION RADIO DISPATCH INC,2015-01-01,996,95
B01300,KENNEDY RAD DISP INC,2015-01-01,633,78
B01312,BROOKLYN RAD DISP INC,2015-01-01,390,49
B01313,JOY CAR SERVICES INC.,2015-01-01,10,10
B01315,"V.I.T. CAR SERVICE, INC.",2015-01-01,1234,120
B01341,A NEW DAY RAD DISP INC,2015-01-01,1035,97
b01346,ARECIBO C/S INC,2015-01-01,543,78
B01367    ,"ROYAL DISPATCH SERVICES, INC.",2015-01-01,13,8
B01386,FENIX CAR SVCE CORP,2015-01-01,1841,136
B01522,"STM ENTERPRISES,INC",2015-01-01,61,12
B01651,U.P.S. RADIO DISPATCH CORP.,2015-01-01,380,49
B01777,PREMIUM RADIO DISP & MULTI SVC,2015-01-01,1195,92
B01848,GRAND LIMO & CAR SERVICE INC.,2015-01-01,20,1
B01877,U.S.A. LIMO. INC.,2015-01-01,27,23
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-01-01,341,41
B01984,NY 88 EXPRESS CORP.,2015-01-01,169,51
B01990,SUK INCORPORATED,2015-01-01,20,8
B02003,"AVALON CORPORATE CAR,INC.",2015-01-01,25,16
B02022,GOLD SEAL CAR & LIMO INC.,2015-01-01,15,6
B02096,"CET GROUP, INC",2015-01-01,3,3
B02107,APOLLO RADIO DISPATCH INC.,2015-01-01,1263,67
B02120,HARRISON GLOBAL LLC,2015-01-01,53,32
B02147,"MITA LIMOUSINE, INC.",2015-01-01,14,4
B02285,"VALERA GLOBAL, INC.",2015-01-01,28,23
B02475,ECKFORD LITE CAR & LIMO INC.,2015-01-01,8,3
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-01,1,1
B02566,GSL LIMOUSINES CORP.,2015-01-01,1,1
B02569,GOGREENRIDE INC.,2015-01-01,54,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-01,1778,84
B02715,GROUNDANYWHERE LLC,2015-01-01,78,43
B00013,LOVE CORP CAR INC,2015-01-02,79,42
B00014,NY ONE CORP CAR INC,2015-01-02,110,62
B00029,COMMUNITY CAR SVC CORP,2015-01-02,1136,46
B00053,CHARGE AND RIDE INC,2015-01-02,26,22
B00095,LIBERTY CAR SERVICE INC.,2015-01-02,830,82
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-02,354,72
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-02,78,51
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-02,1008,129
B00254,XYZ TWO WAY RADIO,2015-01-02,320,162
B00280,FLEET RADIO DISPATCH CORP.,2015-01-02,91,43
B00310,WATSON CAR SERVICE INC.,2015-01-02,1697,152
B00381,BELL RADIO INC,2015-01-02,78,41
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-02,179,46
B00457,PREMIUM BRONX CORP,2015-01-02,1180,112
B00477,INTA-BORO ACRES INC,2015-01-02,136,73
B00552,HINO-MARU ENTERPRISES INC.,2015-01-02,14,11
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-02,5,3
B00837,CAREY LIMO N Y INC,2015-01-02,121,58
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-02,1867,651
B00919,HARLEM CARS INC.,2015-01-02,594,76
B00948,510 CAR SERVICE CORP,2015-01-02,643,58
