Base,Date,Number of trips
B02512,2014-04-30,2107
B02512,2014-04-04,1768
B02512,2014-09-05,1752
B02512,2014-05-16,1686
B02512,2014-07-15,1618
B02512,2014-06-13,1592
B02512,2014-09-06,1554
B02512,2014-07-23,1540
B02512,2014-06-12,1539
B02512,2014-06-05,1538
B02512,2014-05-08,1500
B02512,2014-06-19,1486
B02512,2014-05-09,1485
B02512,2014-09-04,1476
B02512,2014-05-22,1443
B02512,2014-04-03,1440
B02512,2014-04-29,1435
B02512,2014-07-31,1434
B02512,2014-05-02,1407
B02512,2014-09-12,1395
B02512,2014-09-13,1395
B02512,2014-07-10,1384
B02512,2014-08-07,1378
B02512,2014-08-12,1371
B02512,2014-04-26,1362
B02512,2014-04-25,1358
B02512,2014-07-14,1357
B02512,2014-04-24,1355
B02512,2014-07-09,1346
B02512,2014-05-15,1345
B02512,2014-07-29,1327
B02512,2014-06-26,1326
B02512,2014-07-22,1326
B02512,2014-09-11,1324
B02512,2014-04-07,1321
B02512,2014-08-01,1321
B02512,2014-05-01,1318
B02512,2014-04-15,1317
B02512,2014-09-10,1317
B02512,2014-05-21,1315
B02512,2014-05-29,1313
B02512,2014-09-19,1308
B02512,2014-04-11,1306
B02512,2014-09-16,1303
B02512,2014-07-24,1302
B02512,2014-07-30,1299
B02512,2014-06-11,1296
B02512,2014-05-23,1295
B02512,2014-07-16,1293
B02512,2014-08-06,1293
B02512,2014-04-02,1289
B02512,2014-04-17,1280
B02512,2014-05-10,1275
B02512,2014-07-17,1272
B02512,2014-04-05,1266
B02512,2014-09-03,1266
B02512,2014-05-03,1261
B02512,2014-05-30,1257
B02512,2014-07-25,1246
B02512,2014-04-10,1239
B02512,2014-09-18,1235
B02512,2014-05-06,1230
B02512,2014-07-02,1228
B02512,2014-09-09,1226
B02512,2014-05-28,1224
B02512,2014-07-28,1221
B02512,2014-05-20,1217
B02512,2014-07-08,1210
B02512,2014-07-11,1208
B02512,2014-06-03,1206
B02512,2014-06-06,1205
B02512,2014-07-18,1201
B02512,2014-08-21,1189
B02512,2014-05-07,1174
B02512,2014-09-02,1170
B02512,2014-09-08,1170
B02512,2014-06-18,1166
B02512,2014-06-10,1165
B02512,2014-06-04,1163
B02512,2014-08-13,1161
B02512,2014-06-09,1158
B02512,2014-08-08,1154
B02512,2014-04-23,1149
B02512,2014-08-05,1148
B02512,2014-05-14,1146
B02512,2014-04-09,1144
B02512,2014-09-17,1144
B02512,2014-08-14,1133
B02512,2014-05-05,1130
B02512,2014-08-04,1123
B02512,2014-09-07,1111
B02512,2014-06-25,1106
B02512,2014-05-13,1098
B02512,2014-07-26,1095
B02512,2014-06-17,1091
B02512,2014-05-17,1088
B02512,2014-09-20,1076
B02512,2014-05-19,1066
B02512,2014-06-20,1065
B02512,2014-08-20,1062
B02512,2014-09-15,1053
B02512,2014-08-02,1042
B02512,2014-08-15,1041
B02512,2014-04-12,1033
B02512,2014-04-16,1027
B02512,2014-06-27,1025
B02512,2014-05-31,1011
B02512,2014-08-19,1005
B02512,2014-08-22,1004
B02512,2014-07-01,1003
B02512,2014-09-25,1001
B02512,2014-09-27,991
B02512,2014-07-03,990
B02512,2014-05-12,987
B02512,2014-07-21,984
B02512,2014-04-08,981
B02512,2014-04-01,978
B02512,2014-05-18,957
B02512,2014-06-02,955
B02512,2014-09-30,949
B02512,2014-07-12,946
B02512,2014-08-28,943
B02512,2014-04-28,939
B02512,2014-04-22,936
B02512,2014-06-07,933
B02512,2014-08-29,931
B02512,2014-09-26,931
B02512,2014-08-26,922
B02512,2014-07-19,920
B02512,2014-05-27,917
B02512,2014-08-09,917
B02512,2014-08-27,913
B02512,2014-06-16,910
B02512,2014-04-18,907
B02512,2014-08-03,905
B02512,2014-07-13,903
B02512,2014-09-22,901
B02512,2014-09-29,891
B02512,2014-06-14,890
B02512,2014-08-11,890
B02512,2014-08-18,889
B02512,2014-06-28,876
B02512,2014-06-30,858
B02512,2014-08-23,855
B02512,2014-08-16,852
B02512,2014-09-24,845
B02512,2014-05-04,842
B02512,2014-07-07,841
B02512,2014-06-24,840
B02512,2014-09-23,838
B02512,2014-09-14,836
B02512,2014-04-19,827
B02512,2014-04-14,825
B02512,2014-04-27,823
B02512,2014-09-21,822
B02512,2014-07-20,821
B02512,2014-08-17,821
B02512,2014-06-21,818
B02512,2014-06-01,815
B02512,2014-06-23,790
B02512,2014-04-06,789
B02512,2014-06-08,783
B02512,2014-08-10,762
B02512,2014-08-25,762
B02512,2014-04-13,753
B02512,2014-05-11,749
B02512,2014-08-24,748
B02512,2014-06-22,743
B02512,2014-08-31,737
B02512,2014-07-27,733
B02512,2014-09-28,719
B02512,2014-04-21,718
B02512,2014-08-30,703
B02512,2014-05-24,700
B02512,2014-06-29,699
B02512,2014-06-15,637
B02512,2014-09-01,625
B02512,2014-04-20,586
B02512,2014-05-25,542
B02512,2014-07-04,521
B02512,2014-05-26,463
B02512,2014-07-06,421
B02512,2014-07-05,391
B02598,2014-04-30,13383
B02598,2014-05-16,12871
B02598,2014-06-13,11276
B02598,2014-06-05,10881
B02598,2014-06-12,10802
B02598,2014-05-08,10675
B02598,2014-07-15,10629
B02598,2014-05-23,10531
B02598,2014-05-15,10475
B02598,2014-05-22,10368
B02598,2014-05-09,10348
B02598,2014-09-13,10308
B02598,2014-06-19,10221
B02598,2014-07-23,10002
B02598,2014-09-05,9975
B02598,2014-09-19,9858
B02598,2014-09-06,9765
B02598,2014-07-31,9751
B02598,2014-06-26,9743
B02598,2014-07-10,9720
B02598,2014-07-24,9708
B02598,2014-05-29,9637
B02598,2014-09-12,9580
B02598,2014-05-30,9542
B02598,2014-09-18,9491
B02598,2014-06-11,9416
B02598,2014-07-17,9379
B02598,2014-04-26,9360
B02598,2014-09-04,9314
B02598,2014-05-02,9301
B02598,2014-06-06,9290
B02598,2014-08-01,9288
B02598,2014-04-25,9247
B02598,2014-05-17,9234
B02598,2014-05-10,9227
B02598,2014-06-25,9186
B02598,2014-05-21,9178
B02598,2014-08-07,9084
B02598,2014-07-11,9052
B02598,2014-05-14,8897
B02598,2014-09-11,8886
B02598,2014-07-09,8857
B02598,2014-06-03,8852
B02598,2014-05-03,8842
B02598,2014-06-18,8826
B02598,2014-07-18,8825
B02598,2014-06-04,8820
B02598,2014-09-20,8812
B02598,2014-07-25,8805
B02598,2014-05-28,8791
B02598,2014-07-30,8767
B02598,2014-07-02,8739
B02598,2014-05-01,8724
B02598,2014-09-10,8724
B02598,2014-06-09,8693
B02598,2014-09-25,8603
B02598,2014-06-27,8576
B02598,2014-05-07,8573
B02598,2014-05-31,8567
B02598,2014-06-10,8553
B02598,2014-09-16,8552
B02598,2014-08-08,8533
B02598,2014-07-16,8504
B02598,2014-06-20,8495
B02598,2014-07-14,8493
B02598,2014-08-06,8488
B02598,2014-07-22,8451
B02598,2014-04-29,8448
B02598,2014-08-21,8440
B02598,2014-09-27,8426
B02598,2014-07-26,8369
B02598,2014-07-08,8353
B02598,2014-08-14,8346
B02598,2014-09-09,8304
B02598,2014-07-12,8293
B02598,2014-05-20,8239
B02598,2014-09-26,8233
B02598,2014-09-17,8172
B02598,2014-04-24,8168
B02598,2014-08-02,8130
B02598,2014-08-13,8040
B02598,2014-09-03,7989
B02598,2014-06-17,7931
B02598,2014-06-07,7893
B02598,2014-07-29,7893
B02598,2014-08-12,7863
