Base,Date,Number of trips
B02512,2015-02-13,2500
B02512,2015-02-20,2478
B02512,2015-02-19,2171
B02512,2015-02-21,2144
B02512,2015-02-12,2138
B02512,2015-02-27,2127
B02512,2015-02-06,2125
B02512,2015-02-14,2096
B02512,2015-02-05,2085
B02512,2015-02-15,2076
B02512,2015-01-30,2054
B02512,2015-02-03,2029
B02512,2015-02-24,1951
B02512,2015-03-20,1931
B02512,2015-01-31,1929
B02512,2015-03-06,1926
B02512,2015-02-11,1903
B02512,2015-02-02,1897
B02512,2015-02-26,1884
B02512,2015-02-23,1864
B02512,2015-06-27,1862
B02512,2015-02-17,1848
B02512,2015-03-03,1846
B02512,2015-01-08,1844
B02512,2015-02-28,1836
B02512,2015-03-05,1791
B02512,2015-05-21,1777
B02512,2015-03-10,1773
B02512,2015-01-23,1754
B02512,2015-05-02,1745
B02512,2015-05-01,1742
B02512,2015-01-10,1738
B02512,2015-05-16,1729
B02512,2015-06-18,1729
B02512,2015-01-13,1728
B02512,2015-06-12,1725
B02512,2015-01-29,1722
B02512,2015-03-14,1720
B02512,2015-06-02,1706
B02512,2015-01-15,1705
B02512,2015-02-25,1705
B02512,2015-02-04,1701
B02512,2015-03-13,1696
B02512,2015-06-23,1675
B02512,2015-01-14,1668
B02512,2015-03-27,1666
B02512,2015-05-20,1666
B02512,2015-02-18,1663
B02512,2015-01-24,1662
B02512,2015-05-07,1661
B02512,2015-03-26,1657
B02512,2015-05-08,1656
B02512,2015-05-15,1652
B02512,2015-05-27,1650
B02512,2015-01-09,1649
B02512,2015-02-16,1648
B02512,2015-06-11,1645
B02512,2015-03-12,1637
B02512,2015-03-31,1637
B02512,2015-06-01,1636
B02512,2015-02-10,1634
B02512,2015-05-14,1633
B02512,2015-06-25,1625
B02512,2015-02-09,1621
B02512,2015-06-05,1619
B02512,2015-01-18,1616
B02512,2015-01-22,1612
B02512,2015-05-19,1608
B02512,2015-06-24,1603
B02512,2015-05-13,1602
B02512,2015-03-07,1601
B02512,2015-03-25,1601
B02512,2015-03-19,1598
B02512,2015-01-16,1585
B02512,2015-06-26,1581
B02512,2015-02-07,1579
B02512,2015-06-16,1573
B02512,2015-06-19,1571
B02512,2015-03-11,1567
B02512,2015-03-04,1566
B02512,2015-06-17,1564
B02512,2015-03-28,1561
B02512,2015-01-21,1554
B02512,2015-05-06,1554
B02512,2015-05-28,1537
B02512,2015-05-29,1517
B02512,2015-06-10,1505
B02512,2015-06-09,1501
B02512,2015-01-07,1497
B02512,2015-06-30,1468
B02512,2015-01-28,1467
B02512,2015-01-12,1466
B02512,2015-03-29,1458
B02512,2015-06-03,1449
B02512,2015-02-01,1447
B02512,2015-03-18,1446
B02512,2015-05-30,1439
B02512,2015-03-24,1436
B02512,2015-05-12,1433
B02512,2015-05-05,1431
B02512,2015-03-23,1429
B02512,2015-05-17,1428
B02512,2015-06-04,1424
B02512,2015-05-09,1423
B02512,2015-03-02,1418
B02512,2015-03-01,1417
B02512,2015-03-21,1417
B02512,2015-05-18,1384
B02512,2015-03-09,1383
B02512,2015-03-30,1381
B02512,2015-06-15,1372
B02512,2015-05-31,1369
B02512,2015-02-22,1364
B02512,2015-01-20,1363
B02512,2015-05-11,1350
B02512,2015-01-17,1349
B02512,2015-01-06,1340
B02512,2015-05-03,1340
B02512,2015-03-17,1313
B02512,2015-06-06,1307
B02512,2015-06-13,1306
B02512,2015-06-28,1306
B02512,2015-05-04,1301
B02512,2015-06-08,1277
B02512,2015-03-22,1276
B02512,2015-03-16,1267
B02512,2015-02-08,1264
B02512,2015-01-25,1255
B02512,2015-06-20,1252
B02512,2015-06-07,1244
B02512,2015-06-22,1233
B02512,2015-05-22,1229
B02512,2015-01-01,1226
B02512,2015-01-11,1212
B02512,2015-06-29,1210
B02512,2015-05-26,1204
B02512,2015-06-21,1159
B02512,2015-06-14,1144
B02512,2015-01-03,1127
B02512,2015-05-10,1103
B02512,2015-01-19,1098
B02512,2015-03-08,1097
B02512,2015-03-15,1090
B02512,2015-01-26,1026
B02512,2015-01-05,1021
B02512,2015-05-23,974
B02512,2015-01-02,897
B02512,2015-05-24,882
B02512,2015-01-04,840
B02512,2015-05-25,789
B02512,2015-01-27,647
B02512,2015-04-25,632
B02512,2015-04-24,593
B02512,2015-04-20,529
B02512,2015-04-22,528
B02512,2015-04-28,526
B02512,2015-04-30,520
B02512,2015-04-07,516
B02512,2015-04-18,516
B02512,2015-04-16,510
B02512,2015-04-23,509
B02512,2015-04-09,505
B02512,2015-04-29,503
B02512,2015-04-11,491
B02512,2015-04-27,487
B02512,2015-04-02,481
B02512,2015-04-10,478
B02512,2015-04-26,474
B02512,2015-04-08,468
B02512,2015-04-01,459
B02512,2015-04-15,453
B02512,2015-04-17,451
B02512,2015-04-19,451
B02512,2015-04-14,449
B02512,2015-04-21,435
B02512,2015-04-13,425
B02512,2015-04-12,408
B02512,2015-04-06,390
B02512,2015-04-03,389
B02512,2015-04-04,381
B02512,2015-04-05,377
B02598,2015-02-13,12559
B02598,2015-02-20,12337
B02598,2015-02-14,12244
B02598,2015-02-21,11724
B02598,2015-02-06,11425
B02598,2015-01-31,11322
B02598,2015-02-12,11256
B02598,2015-02-19,11256
B02598,2015-02-05,11199
B02598,2015-02-15,11114
B02598,2015-01-30,10830
B02598,2015-02-27,10387
B02598,2015-02-26,10235
B02598,2015-05-16,10189
B02598,2015-01-10,10137
B02598,2015-02-07,10105
B02598,2015-02-28,10018
B02598,2015-04-25,10002
B02598,2015-04-24,9939
